#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SSA4	SSA2	4932.YER103W	4932.YLL024C	0	0	0.050	0.981	0.110	0.611	0.400	0.059	0.780
SSA4	HSF1	4932.YER103W	4932.YGL073W	0	0	0	0	0.057	0.492	0.500	0.602	0.892
SSA4	HSC82	4932.YER103W	4932.YMR186W	0	0.002	0	0	0.501	0.487	0.500	0.784	0.968
SSA4	HSP104	4932.YER103W	4932.YLL026W	0.058	0	0	0	0.813	0.326	0	0.918	0.989
SSA4	HSP82	4932.YER103W	4932.YPL240C	0	0.002	0	0	0.690	0.740	0.500	0.850	0.993
YAP1	SSA1	4932.YML007W	4932.YAL005C	0	0	0	0	0.065	0.123	0	0.341	0.413
YAP1	HSF1	4932.YML007W	4932.YGL073W	0	0	0	0	0.120	0.092	0	0.872	0.889
YAP1	MSN4	4932.YML007W	4932.YKL062W	0	0	0	0	0.044	0	0	0.903	0.903
YAP1	HSP104	4932.YML007W	4932.YLL026W	0	0	0	0	0.081	0.070	0	0.476	0.513
YAP1	HSP82	4932.YML007W	4932.YPL240C	0	0	0	0	0.081	0	0	0.384	0.409
YAP1	MSN2	4932.YML007W	4932.YMR037C	0	0	0	0	0.066	0.224	0	0.908	0.927
